Title,Company,Location,Apply
b'Python Developer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-infosys-3557705544?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=dC%2BexsZAJ1tBlJ7ShCdBVg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-infosys-3551208353?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=oFE3%2BCH3Lzf3gdHYrkKX%2Bg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Strategy and Operations Lead, Google Operations Center, gTech'",b'Google',"b'Gurugram, Haryana, India'",b'https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522687261?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=DGp%2BfYFwmXf613%2FgPTh4Pw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Marketing Analyst',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/marketing-analyst-at-infosys-3573471205?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=KSYUwqQq%2F15Nz1qlRN%2F4WA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Product Operation Analyst, Google Nest'",b'Google',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/product-operation-analyst-google-nest-at-google-3574512810?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=kAD5oHI9m%2FuV%2F9wgnUCZ3A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Strategy and Operations Lead, Google Operations Center, gTech'",b'Google',"b'Hyderabad, Telangana, India'",b'https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522687241?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=QzforyeIPPX5igawmFTMmQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Strategy and Operations Lead, gTech Customer Experience'",b'Google',"b'Gurgaon, Haryana, India'",b'https://in.linkedin.com/jobs/view/strategy-and-operations-lead-gtech-customer-experience-at-google-3585552054?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=Wxuw9eQssbraMt3YYuwlzg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Strategy and Operations Lead, Google Operations Center, gTech'",b'Google',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522688242?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=IK%2FT8exNjsEzKYkFfDzsVQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Analyst- Banking',b'Infosys',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/business-analyst-banking-at-infosys-3548662524?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=24IUKIejASZ%2F0tbE0yBrMg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'React JS Developer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/react-js-developer-at-infosys-3559729273?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=ZBlCvhgQr8Y1u8rOHKj5DA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Science',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/data-science-at-infosys-3546179721?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=b5taHlL2uPJDfspsdQDn%2BQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
