Title,Company,Location,Apply
Python Developer,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/python-developer-at-infosys-3557705544?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=hh6PJUzmpXlN3sCHtYrPPQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/python-developer-at-infosys-3551208353?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=ozj%2FcOCjzdPvjaCvSQOJJw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
"Strategy and Operations Lead, Google Operations Center, gTech",Google,Gurugram,https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522687261?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=V9ZYOsm8SpgFV0FjmLXuZg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Analyst,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/marketing-analyst-at-infosys-3573471205?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=SIAbyYg48TWKxl3DBJRrsQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
"Product Operation Analyst, Google Nest",Google,Bengaluru,https://in.linkedin.com/jobs/view/product-operation-analyst-google-nest-at-google-3574512810?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=BEGRdvR2yf14aQnSoePlhQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
"Strategy and Operations Lead, Google Operations Center, gTech",Google,Hyderabad,https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522687241?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=QKbaDbH%2FxSKxhOaJXXkEqw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
"Strategy and Operations Lead, gTech Customer Experience",Google,Gurgaon,https://in.linkedin.com/jobs/view/strategy-and-operations-lead-gtech-customer-experience-at-google-3585552054?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=8UzJEqKVlz0eQp2UgSTQwg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
"Strategy and Operations Lead, Google Operations Center, gTech",Google,Bengaluru,https://in.linkedin.com/jobs/view/strategy-and-operations-lead-google-operations-center-gtech-at-google-3522688242?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=LgusoC3KcQ2h%2FTwCtbfflA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst- Banking,Infosys,Pune,https://in.linkedin.com/jobs/view/business-analyst-banking-at-infosys-3548662524?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=Jpi32gOLr2v2lrRImxKTBw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
React JS Developer,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/react-js-developer-at-infosys-3559729273?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=iehOWHx7CjNkRL1ovu7nDg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Science,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/data-science-at-infosys-3546179721?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=pN44ZF%2Fbj%2B1jSavT7iBBsw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Invoice Processing TL,Capgemini,Bengaluru,https://in.linkedin.com/jobs/view/invoice-processing-tl-at-capgemini-3581116275?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=2zQQ4vc8z9R2vE9IWKVtVA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Operations Manager,Capgemini,Kolkata,https://in.linkedin.com/jobs/view/senior-operations-manager-at-capgemini-3581707833?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=3WqDtgfsxgEXVMWH5v957Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Market Research Analyst,Capgemini,Greater Kolkata Area,https://in.linkedin.com/jobs/view/market-research-analyst-at-capgemini-3595393521?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=j9WQy6%2FtrMOqY3h4%2B4wuBw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Engineer Jr. (ETL),Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/data-engineer-jr-etl-at-infosys-3556281056?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=Ge3D72ugwFgk1x%2BJhkJ3WA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Human Resource Operations I 16 to 18 Years I Kolkata I,Capgemini,Greater Kolkata Area,https://in.linkedin.com/jobs/view/human-resource-operations-i-16-to-18-years-i-kolkata-i-at-capgemini-3542768838?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=UZBIUNVadE93gPfzen6TzA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Research Analyst,Capgemini,Kolkata,https://in.linkedin.com/jobs/view/research-analyst-at-capgemini-3594528874?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=wpjnrYNak4YVJ4anN0R83Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst - Risk assessment,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/business-analyst-risk-assessment-at-infosys-3557706279?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=oZZyQdzQNm5x95oYjOF6ig%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/data-scientist-at-infosys-3547314074?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=RQXtWKI9gI4T9e%2BXCeMbcg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
React JS Developer,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/react-js-developer-at-infosys-3551208349?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=ADQSJJ3JgNWsekWqDKFWqQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent Acquisition Operations | 1 to 3 years | Kolkata,Capgemini,Greater Kolkata Area,https://in.linkedin.com/jobs/view/talent-acquisition-operations-1-to-3-years-kolkata-at-capgemini-3542765973?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=G0f8GoDIXeAWCVX8TRgSrQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Vendor Operations Manager,Google,Bengaluru,https://in.linkedin.com/jobs/view/vendor-operations-manager-at-google-3566639792?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=k5vARS3BBKUHdNC6AfCBLw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Aerospace Engineer,Infosys,Bengaluru East,https://in.linkedin.com/jobs/view/aerospace-engineer-at-infosys-3553169206?refId=%2BmMYyP4wRBe1bJQRY%2BJnlQ%3D%3D&trackingId=Tg15WSUWV4f4G0Bw2cmd1A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
